,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.155,0.247,0.002,0.002
1,ECL_96_336,0.171,0.264,0.003,0.003
2,ECL_96_720,0.2,0.292,0.008,0.007
3,ECL_96_96,0.134,0.227,0.001,0.001
4,ETTh1_96_192,0.436,0.434,0.006,0.005
5,ETTh1_96_336,0.477,0.453,0.004,0.004
6,ETTh1_96_720,0.493,0.482,0.012,0.007
7,ETTh1_96_96,0.382,0.4,0.003,0.002
8,ETTh2_96_192,0.373,0.395,0.004,0.003
9,ETTh2_96_336,0.417,0.431,0.004,0.003
10,ETTh2_96_720,0.429,0.446,0.007,0.003
11,ETTh2_96_96,0.297,0.348,0.002,0.002
12,ETTm1_96_192,0.369,0.385,0.005,0.003
13,ETTm1_96_336,0.409,0.411,0.01,0.005
14,ETTm1_96_720,0.46,0.446,0.003,0.003
15,ETTm1_96_96,0.318,0.356,0.003,0.002
16,ETTm2_96_192,0.247,0.304,0.002,0.002
17,ETTm2_96_336,0.31,0.347,0.004,0.003
18,ETTm2_96_720,0.41,0.403,0.003,0.002
19,ETTm2_96_96,0.178,0.26,0.002,0.002
20,PEMS03_96_12,0.065,0.167,0.006,0.009
21,PEMS03_96_24,0.076,0.18,0.005,0.008
22,PEMS03_96_48,0.098,0.205,0.001,0.001
23,PEMS03_96_96,0.13,0.235,0.001,0.001
24,PEMS04_96_12,0.068,0.168,0.0,0.0
25,PEMS04_96_24,0.078,0.181,0.0,0.001
26,PEMS04_96_48,0.092,0.199,0.002,0.004
27,PEMS04_96_96,0.108,0.215,0.001,0.001
28,PEMS07_96_12,0.055,0.149,0.0,0.0
29,PEMS07_96_24,0.07,0.169,0.008,0.011
30,PEMS07_96_48,0.079,0.173,0.001,0.005
31,PEMS07_96_96,0.095,0.187,0.006,0.009
32,PEMS08_96_12,0.069,0.166,0.001,0.001
33,PEMS08_96_24,0.091,0.19,0.003,0.006
34,PEMS08_96_48,0.116,0.209,0.01,0.013
35,PEMS08_96_96,0.207,0.252,0.027,0.026
36,solar_96_192,0.228,0.254,0.003,0.002
37,solar_96_336,0.238,0.267,0.001,0.001
38,solar_96_720,0.242,0.271,0.001,0.001
39,solar_96_96,0.198,0.227,0.003,0.002
40,traffic_96_192,0.396,0.259,0.002,0.001
41,traffic_96_336,0.413,0.267,0.001,0.001
42,traffic_96_720,0.448,0.287,0.003,0.002
43,traffic_96_96,0.371,0.247,0.002,0.0
44,weather_96_192,0.215,0.252,0.004,0.002
45,weather_96_336,0.275,0.295,0.005,0.003
46,weather_96_720,0.351,0.346,0.002,0.002
47,weather_96_96,0.167,0.207,0.006,0.008
